Student,LPIPS,SSIM
112C71014.jpg,0.0,1.0
112598057.jpg,0.2836141288280487,0.8566505937314723
112598067.jpg,0.29692283272743225,0.8519393458071682
112598038.jpg,0.2969391644001007,0.8285322761092258
112C71002.jpg,0.31969356536865234,0.8411479039213425
112C52004.jpg,0.35332193970680237,0.821277016029388
110599004.jpg,0.36317265033721924,0.822314085045477
112598033.jpg,0.394064337015152,0.8289259999558225
